artists,artist id,tracks,track ids,released,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
Sheck Wes,2RDOrhPqAM4jzTRCEb19qX,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,2018-10-05,91,"['hip hop', 'pop rap', 'rap', 'trap music', 'underground hip hop', 'vapor trap']",0.729,0.625,4.0,-5.266,1.0,0.0315,0.194,0.00986,0.248,0.261,146.034,audio_features,183907.0,4.0
Kehlani,0cGUm45nv7Z6M6qdXYQGTX,Nights Like This (feat. Ty Dolla $ign),6ZRuF2n1CQxyxxAAWsKJOy,2019-02-22,28,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'rap']",0.61,0.725,8.0,-5.131,1.0,0.15,0.367,0.0,0.154,0.291,146.163,audio_features,201788.0,4.0
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,bloodline,2hloaUoRonYssMuqLCBLTX,2019-02-08,90,"['dance pop', 'pop', 'post-teen pop']",0.765,0.663,2.0,-5.185,0.0,0.0886,0.0738,9.87e-05,0.206,0.633,151.979,audio_features,216893.0,4.0
Lauv,5JZ7CnR6gTvEMKX4g70Amv,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,2019-01-24,91,"['dance pop', 'pop', 'post-teen pop']",0.599,0.733,11.0,-7.058,1.0,0.203,0.176,0.0,0.242,0.534,102.211,audio_features,162583.0,4.0
Sam Smith,2wY79sveU1sp5g7SokKOiI,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,2019-01-11,95,['pop'],0.741,0.52,8.0,-7.513,1.0,0.0656,0.45,1.97e-06,0.222,0.347,102.998,audio_features,171030.0,4.0
Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,How Did I Get Here (feat. J. Cole),32iPykTXUNZ9oGyACGUybq,2019-02-22,0,"['atl hip hop', 'rap', 'trap music']","{'status': 404, 'message': 'analysis not found'}",,,,,,,,,,,,,
John Mayer,0hEurMDQu99nJRq8pTxO14,I Guess I Just Feel Like,1HNywa8Bk0TmzRwQrzhtPo,2019-02-22,37,"['neo mellow', 'pop', 'pop rock', 'singer-songwriter']",0.556,0.528,4.0,-8.033,1.0,0.0266,0.615,0.0964,0.122,0.163,159.821,audio_features,285480.0,4.0
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,imagine,39LmTF9RgyakzSYX8txrow,2019-02-08,88,"['dance pop', 'pop', 'post-teen pop']",0.709,0.474,8.0,-4.89,1.0,0.0423,0.364,0.0,0.12,0.366,125.107,audio_features,212267.0,3.0
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,fake smile,3wFLWP0FcIqHK1wb1CPthQ,2019-02-08,89,"['dance pop', 'pop', 'post-teen pop']",0.522,0.6,9.0,-7.418,1.0,0.384,0.364,0.0,0.324,0.381,170.22,audio_features,208880.0,4.0
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,2018-12-10,90,['chicago rap'],0.511,0.566,6.0,-7.23,0.0,0.2,0.349,0.0,0.34,0.218,83.903,audio_features,239836.0,4.0
Flipp Dinero,2HUwZ0kumzCSlhFcjFZfpp,Leave Me Alone,14mHfNsSHN0FbLftyjrV9g,2018-09-04,90,"['rap', 'trap music', 'underground hip hop', 'vapor trap']",0.792,0.743,7.0,-2.806,1.0,0.0851,0.107,0.0,0.183,0.742,150.024,audio_features,195637.0,4.0
Lil Pump,3wyVrVrFCkukjdVIdirGVY,Be Like Me (feat. Lil Wayne),6flur5o18COKeafnjLHRiJ,2019-02-22,36,"['emo rap', 'miami hip hop', 'trap music']",0.948,0.396,5.0,-8.08,0.0,0.173,0.00335,0.0,0.192,0.593,104.006,audio_features,240000.0,4.0
Cardi B,4kYSro6naA4h99UJvo89HB,Money,2GGMabyHXnJmjY6CXhhB2e,2018-10-23,88,"['pop', 'rap']",0.95,0.59,8.0,-6.508,0.0,0.29,0.00534,0.0,0.11,0.219,130.003,audio_features,183527.0,4.0
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,ghostin,4lD7gHKF1e8Y9stQuVezZB,2018-02-07,66,"['dance pop', 'pop', 'post-teen pop']",0.448,0.375,9.0,-8.371,1.0,0.0274,0.393,5.71e-05,0.199,0.111,104.014,audio_features,271467.0,4.0
Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,Wake Up in the Sky,2G1tXoGBaEMJ7FKGnkf6ud,2018-12-07,79,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",0.8,0.578,4.0,-5.144,0.0,0.0485,0.00381,0.0,0.367,0.367,143.01,audio_features,203161.0,4.0
Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Armed And Dangerous,5wujBwqG7INdStqGd4tRMX,2018-12-10,87,['chicago rap'],0.736,0.67,10.0,-6.702,1.0,0.311,0.186,0.0,0.114,0.845,130.032,audio_features,169999.0,4.0
benny blanco,5CiGnKThu5ctn9pBxv7DGa,Eastside (with Halsey & Khalid),7FGq80cy8juXBCD2nrqdWU,2018-12-07,82,"['dance pop', 'electropop', 'pop', 'tropical house']",0.632,0.686,6.0,-7.665,0.0,0.243,0.549,0.0,0.2,0.329,89.949,audio_features,170770.0,4.0
Khalid,6LuN9FCkKOj5PcnpouEgny,Better,6zeeWid2sgw4lap2jV61PZ,2018-10-18,86,['pop'],0.596,0.552,0.0,-10.278,0.0,0.097,0.0765,0.334,0.104,0.112,97.949,audio_features,229320.0,4.0
Post Malone,246dkjvS1zLTtiykXe5h60,Better Now,7dt6x5M1jzdTEt8oCbisTK,2018-04-27,92,"['pop', 'rap']",0.68,0.563,10.0,-5.843,1.0,0.0454,0.354,0.0,0.136,0.374,145.028,audio_features,231267.0,4.0
Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,Clout (feat. Cardi B),59ywHNwwchG4nZJMLyxSzd,2019-02-22,0,"['atl hip hop', 'rap', 'trap music']","{'status': 404, 'message': 'analysis not found'}",,,,,,,,,,,,,
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,Speed It Up,6PfI6EeLNiNGVAVg11nv7D,2019-02-22,0,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap music']",0.912,0.587,7.0,-7.395,1.0,0.0582,0.0394,0.01,0.111,0.435,143.027,audio_features,179022.0,4.0
Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Shallow,2VxeLyX666F8uXCJ0dZF8B,2018-10-05,92,"['dance pop', 'pop']",0.572,0.385,7.0,-6.362,1.0,0.0308,0.371,0.0,0.231,0.323,95.799,audio_features,215733.0,4.0
